[856, 390, 31, 283.4895, 0.0044686487, 0, -1;
 186.62402, 224.64001, 53.568005, 186.97731, 0.00220475, 3, -1;
 129.60001, 165.88802, 53.568005, 197.66692, 0.0022420611, 3, -1;
 283.39203, 164.16002, 53.568005, 243.52025, 0.0024504992, 3, -1;
 770.68805, 297.21603, 53.568005, 72.422791, 0.0025730326, 3, -1;
 739.58405, 295.48804, 53.568005, 180.54433, 0.0021630086, 3, -1;
 145.15201, 165.88802, 53.568005, 239.68753, 0.0023210545, 3, -1;
 743.0401, 292.03201, 53.568005, 203.34245, 0.0021495593, 3, -1;
 798.33606, 292.03201, 53.568005, 235.71771, 0.0021559601, 3, -1;
 820.80005, 157.24802, 53.568005, 73.477943, 0.0025553999, 3, -1;
 724.03204, 157.24802, 53.568005, 152.76541, 0.0020853491, 3, -1;
 193.53601, 229.82402, 53.568005, 185.72595, 0.0021249631, 3, -1;
 514.94403, 146.88002, 53.568005, 251.89212, 0.0023589791, 3, -1;
 812.1601, 288.57602, 53.568005, 263.37076, 0.0024059173, 3, -1;
 304.12802, 183.16801, 53.568005, 104.88709, 0.0020750472, 3, -1;
 822.52808, 288.57602, 53.568005, 309.19098, 0.0023601572, 3, -1;
 715.39209, 155.52002, 53.568005, 240.94884, 0.0021847107, 3, -1;
 879.55206, 392.25604, 53.568005, 333.6188, 0.0023896252, 3, -1;
 827.7121, 150.33601, 53.568005, 273.93463, 0.0024051964, 3, -1;
 765.50409, 297.21603, 53.568005, 358.61285, 0.0022584142, 3, -1;
 900.28809, 387.07202, 53.568005, 280.24127, 0.0023120793, 3, -1;
 855.36011, 385.34402, 53.568005, 268.83453, 0.0020595125, 3, -1;
 798.33606, 155.52002, 53.568005, 59.442291, 0.0021259873, 3, -1;
 148.60802, 177.98402, 53.568005, 130.7906, 0.0020675764, 3, -1;
 815.61609, 136.51201, 53.568005, 270.04294, 0.0025580029, 3, -1;
 202.17603, 229.82402, 53.568005, 183.90404, 0.0020516198, 3, -1;
 182.47682, 350.43845, 64.281609, 215.66647, 0.0024772054, 4, -1;
 551.5777, 157.59363, 64.281609, 248.03165, 0.0030490661, 4, -1;
 814.92493, 151.37282, 64.281609, 259.88913, 0.0019244998, 4, -1;
 541.20966, 155.52002, 64.281609, 251.79562, 0.0051614991, 4, -1;
 787.96814, 232.24323, 64.281609, 275.27795, 0.0021774336, 4, -1;
 837.7345, 161.74083, 64.281609, 51.968193, 0.0036719833, 4, -1;
 771.37933, 296.52484, 64.281609, 19.451887, 0.001658155, 4, -1;
 821.14569, 155.52002, 64.281609, 104.73884, 0.0022293394, 4, -1;
